id,full_name,nationality,date_of_birth,position
1,Lionel Messi,Argentina,1987-06-24,RW
2,Mohamed Salah,Egypt,1992-06-15,RM
3,Kevin De Bruyne,Belgium,1991-06-28,CM
4,Harry Kane,England,1993-07-28,ST
5,Erling Haaland,Norway,2000-07-21,ST
6,Kylian Mbappé,France,1998-12-20,ST
7,Virgil van Dijk,Holland,1991-07-08,CB
8,Jude Bellingham,England,2003-06-29,CAM
9,Luka Modrić,Croatia,1985-09-09,CM
10,Heung Min Son,Korea Republic,1992-07-08,LW
11,Gianluigi Donnarumma,Italy,1999-02-25,GK
12,Alisson Ramses Becker,Brazil,1992-10-02,GK
13,Thibaut Courtois,Belgium,1992-05-11,GK
14,Jan Oblak,Slovenia,1993-01-07,GK
15,Ousmane Dembélé,France,1997-05-15,ST
16,Vinícius José de Oliveira Júnior,Brazil,2000-07-12,LW
17,Robert Lewandowski,Poland,1988-08-21,ST
18,Bernardo Mota Carvalho e Silva,Portugal,1994-08-10,CM
19,Phil Foden,England,2000-05-28,RW
20,Cristiano Ronaldo,Portugal,1985-02-05,ST
